KOD,TYPE,FİYAT
4118255,PERFUME NO1,73.1
4082935,EMOTIONS IN MOTION-FLORAL DREAM,74.175
4052787,AGENT PROVACATOR,73.1
4293328,APHRODISIAQUE,55.9
4063381,EAU EMOTIONELLE,70.95
4076827,MAITRESSE,73.1
4082176,WISAL,73.1
4015408,KINGDOM ,51.59999999999999
4029080,MY QUEEN,53.75
4024287,DESIRE FOR A WOMAN,53.75
4256064,AMOUAGE GOLD POUR FEMME,70.95
4132960,HONOUR WOMAN,73.1
4132961,INTERLUDE WOMEN,69.875
4141357,JOURNEY WOMAN,77.39999999999999
4256067,MAMUTIR WOMAN,74.175
4533652,HONOUR 43 WOMAN,66.64999999999999
4035145,AMIMALE,59.125
4075646,SUI DREAMS,63.425
4088923,SUI LOWE,62.34999999999999
4109264,BLUE SEDUCTION WOMEN,68.8
4102590,HER GOLDEN SECRET,73.1
4470983,CLUB DE NUIT INTENSE,74.175
4097584,HAPPY IN RED,74.175
4066388,IN RED,65.575
4091771,50'S GLAM,69.875
4138983,AQUA FOR HER,62.34999999999999
4272179,ATTRACTION FOR HER,74.175
4074358,BOND GIRL 007,70.95
4327361,CHERISH,69.875
4070934,CHRISTMAS LINA NUIT,66.64999999999999
4067439,CHRISTMAS LINA ROUGE,74.175
4091747,CITY RUSH FOR HER,69.875
4066641,ETERNAL MAGIC,63.425
4339985,EVE DUET RADIANT,66.64999999999999
4148011,FEMME,66.64999999999999
4069589,HERVE LEGER FEMME,69.875
4052693,INCANDESSENCE,67.725
4069243,JET FEMME,66.64999999999999
4300848,LITTLE BLACK DRESS,70.95
4237556,LUCK FOR HER,64.5
4050397,MAKE ME WONDER,66.64999999999999
4093646,ONLY IMAGINE,63.425
4064482,OUTSPOKEN INTENSE BY FERGIE,69.875
4081540,PASSION DANCE,73.1
4024598,PERCEIVE,54.825
4066787,PERCEIVE DEW,66.64999999999999
4301899,PRIMA (DREAMS),62.34999999999999
4078240,PUR BLANCA,73.1
4050044,PUR BLANCA BLUSH,66.64999999999999
4055616,RARE GOLD,66.64999999999999
4059396,RARE PEARLS,64.5
4094262,SENSUELLE,64.5
4051499,SIMPLE ELEMENTS PERFECT COTTON,69.875
4083657,SLIP INTO,64.5
4063984,SPOTLIGHT,69.875
4037648,SURRENDER FOR HER,60.2
4065482,TODAY,64.5
4037467,TOMORROW FOR HER,62.34999999999999
4045573,TRESELLE,62.34999999999999
4053108,U BY UNGARO FEVER,73.1
4326572,ULTRA SEXY,59.125
4092686,VIVA BY FERGIE,62.34999999999999
4050960,WISH OF HAPPINESS,59.125
4052186,WISH OF LOWE,69.875
4031163,AGORA NOW WOMEN,60.2
4065527,DUO WOMEN,69.875
4289388,MADEMOISELLE,70.95
4078252,TWIN WOMEN,73.1
4020311,VISIT FOR WOMEN,49.45
4444504,WANTED GIRL,68.8
4530127,BADGLEY MISCHKA,66.64999999999999
4009938,CRISTOBAL,54.825
4085318,FLORABOTANICA,70.95
4461629,PARIS,73.1
4146480,ROSABOTANICA,60.2
4128021,INTELLIGENCE & FANTASY,73.1
4293311,MADISON AVENUE,75.25
4198834,PERFUMISTA AVENUE,69.875
4533579,THE SCENT OF PEACE,66.64999999999999
4011194,BOUCHON FEMME,62.34999999999999
4075930,INITIAL,70.95
4054788,BELIEVE,69.875
4051941,CIRCUS FANTASY,67.725
4069526,COSMIC RADIANCE,67.725
4020116,CURIOUS,48.375
4071466,FANTASY,66.64999999999999
4123481,FANTASY THE NAUGHTY REMIX,67.725
4088922,HIDDEN FANTASY,66.64999999999999
4036731,IN CONTROL CURIOUS ,49.45
4036541,MIDNIGHT FANTASY,58.05
4071890,RADIANCE,72.02499999999999
4096889,BRUNT WOMEN,63.425
4362122,BODY,77.39999999999999
4129303,BODY EAU DE PARFUM INTENSE,69.875
4023478,BRIT GOLD,58.05
4021797,BRIT RED,55.9
4122598,BURBERRY BRIT RHYTHM FOR WOMEN,74.175
4376102,BURBERRY HER EAU DE PARFUM,73.1
4051173,BURBERRY SPORT FOR WOMEN,69.875
4042971,BURBERRY SUMMER,62.34999999999999
4036221,BURBERRY THE BEAT,59.125
4297867,LONDON,59.125
4129302,My BURBERRY,67.725
4293335,MY BURBERRY BLUSH,47.3
4013621,TENDER TOUCH,51.59999999999999
4059818,TOUCH,59.125
4523387,BURBERRY WEEKEND,62.34999999999999
4064574,BLV,88.14999999999999
4048907,BLV II,69.875
4019063,BLV NOTTE POUR FEMME,45.15
4052800,BORIFLAMES EAU PARFUMEE AU THE VERT,60.2
4048095,BORIFLAMES FEMINEN,55.9
4039426,EAU PARFUMEE AU THE BLANC,66.64999999999999
4900550,FEMINEN,40.85
4244038,GOLDEA,81.7
4234560,JASMIN NOIR,77.39999999999999
4081395,MON JASMIN NOIR,73.1
4060297,OMNIA,68.8
4052105,OMNIA AMETHYSTE,80.625
4073887,OMNIA CORAL,75.25
4142248,OMNIA CRYSTALLINE EAU DE PARFUM,77.39999999999999
4044093,OMNIA GREEN JADE,64.5
4355361,OMNIA PARAIBA,66.64999999999999
4033530,ROSE ESSENTIELLE,52.675
4346494,SPLENDIDA MAGNOLIA SENSUEL,66.64999999999999
4033196,VOILE DE JASMIN,52.675
4533591,SPLENDIDA TUBEREUSE MYSTIQUE,66.64999999999999
4121763,GOOD GIRL GONE BAD,73.1
4067537,LOWE (DON'T BE SHY),68.8
4256071,PLAYING WITH THE DEVIL,75.25
4533622,LOVE DON'T BE SHY EXTREME,64.5
4503942,INFLORESCENCE,64.5
4106192,AMOR AMOR,70.95
4021733,AMOR AMOR EAU FRAICHE,47.3
4035401,AMOR AMOR ELIXIR PASSION,60.2
4066847,AMOR AMOR FORBIDDEN KISS,66.64999999999999
4045575,AMOR AMOR SUNSHINE,62.34999999999999
4039810,AMOR AMOR TENTATION,68.8
4347494,ANAIS ANAIS,77.39999999999999
4900733,EAU D'EDEN,40.85
4037799,GLORIFLAMEA,60.2
4365227,LOU LOU,69.875
4129724,NOA FEMINEN,69.875
4019464,NOA FLEUR,52.675
4028898,NOA PERLA,53.75
4079799,NOA SUMMER 2012,68.8
4022611,PROMESSE,58.05
4046844,SCARLETT,62.34999999999999
4362119,BEAUTY,70.95
4030912,CK IN2U HER,54.825
4036045,CONTRADICTION,55.9
4102550,DOWN TOWN,73.1
4017850,ESCAPE FOR WOMEN,47.3
4017937,ETERNITY MOMENT,48.375
4142147,ETERNITY NIGHT,67.725
4369442,ETERNITY NOW FOR WOMEN,66.64999999999999
4339613,EUPHORIA,66.64999999999999
4045649,EUPHORIA BLOSSOM,62.34999999999999
4142247,EUPHORIA GOLD,70.95
4116933,EUPHORIA LIQUID GOLD,73.1
4066973,FORBIDDEN EUPHORIFLAMEA,63.425
4685401,OBSESSION FEMME,62.35
4041446,SECRET OBSESSION,68.8
4078304,SHEER BEAUTY,73.1
4018613,TRUTH,50.525
4355579,WOMEN 2018,74.175
4020956,212 ON ICE,54.825
4100417,212 POP!,68.8
4298849,212 SEXY,66.64999999999999
4031406,212 SPLASH ,55.9
4454282,212 VIP,70.95
4123657,212 VIP ROSE,62.34999999999999
4273687,212 VIP WILD PARTY,74.175
